F5 Sample ID	FFID	F5 CAGE Lib ID	F5 RNASEQ Lib ID	ROADMAP Matching Sample	Facet ontology ID	Facet ontology term	F5 Sample Type	F5 Sample Description	ROADMAP_Description	Note
10824	FF:10824-111C5	CNhs12334	__na	E123	__na	__na	cell_line	chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep1	K562 Leukemia Cell Line	__na
10823	FF:10823-111C4	CNhs12333	__na	E116	__na	__na	cell_line	B lymphoblastoid cell line: GM12878 ENCODE, biol_rep3	GM12878 Lymphoblastoid Cell Line	__na
10822	FF:10822-111C3	CNhs12332	__na	E116	__na	__na	cell_line	B lymphoblastoid cell line: GM12878 ENCODE, biol_rep2	GM12878 Lymphoblastoid Cell Line	__na
10821	FF:10821-111C2	CNhs12331	__na	E116	__na	__na	cell_line	B lymphoblastoid cell line: GM12878 ENCODE, biol_rep1	GM12878 Lymphoblastoid Cell Line	__na
10820	FF:10820-111C1	CNhs12330	__na	E118	__na	__na	cell_line	hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep3	HepG2 Hepatocellular Carcinoma Cell Line	__na
10819	FF:10819-111B9	CNhs12329	__na	E118	__na	__na	cell_line	hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep2	HepG2 Hepatocellular Carcinoma Cell Line	__na
10818	FF:10818-111B8	CNhs12328	__na	E118	__na	__na	cell_line	hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep1	HepG2 Hepatocellular Carcinoma Cell Line	__na
10817	FF:10817-111B7	CNhs12327	__na	E117	__na	__na	cell_line	epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep3	HeLa-S3 Cervical Carcinoma Cell Line	__na
10816	FF:10816-111B6	CNhs12326	__na	E117	__na	__na	cell_line	epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep2	HeLa-S3 Cervical Carcinoma Cell Line	__na
10815	FF:10815-111B5	CNhs12325	__na	E117	__na	__na	cell_line	epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep1	HeLa-S3 Cervical Carcinoma Cell Line	__na
10813	FF:10813-111B3	CNhs11894	__na	__na	__na	__na	cell_line	normal embryonic palatal mesenchymal cell line:HEPM	__na	__na
10812	FF:10812-111B2	CNhs11950	__na	__na	__na	__na	cell_line	normal intestinal epithelial cell line:FHs 74 Int	__na	__na
