F5 Sample ID	FFID	F5 CAGE Lib ID	F5 RNASEQ Lib ID	ROADMAP Matching Sample	Facet ontology ID	Facet ontology term	F5 Sample Type	F5 Sample Description	ROADMAP_Description	Note
11526	FF:11526-119I5	CNhs11336	__na	__na	CL:0000575	corneal epithelial cell	primary_cell	Corneal Epithelial Cells, donor1	__na	__na
11932	FF:11932-125I6	CNhs13553	__na	E035	CL:0000558	reticulocyte	primary_cell	CD34 cells differentiated to erythrocyte lineage, biol_ rep2	Primary hematopoietic stem cells	__na
11931	FF:11931-125I5	CNhs13552	__na	E035	CL:0000558	reticulocyte	primary_cell	CD34 cells differentiated to erythrocyte lineage, biol_ rep1	Primary hematopoietic stem cells	__na
11655	FF:11655-122E8	CNhs13815	__na	__na	CL:0000540	neuron	primary_cell	Neurons, donor3	__na	__na
11574	FF:11574-120E8	CNhs12726	__na	__na	CL:0000540	neuron	primary_cell	Neurons, donor2	__na	__na
11494	FF:11494-119E9	CNhs12338	__na	__na	CL:0000540	neuron	primary_cell	Neurons, donor1	__na	__na
11654	FF:11654-122E7	CNhs12731	__na	__na	CL:0000499	stromal cell	primary_cell	Meningeal Cells, donor3	__na	__na
11573	FF:11573-120E7	CNhs12080	__na	__na	CL:0000499	stromal cell	primary_cell	Meningeal Cells, donor2	__na	__na
11493	FF:11493-119E8	CNhs11320	__na	__na	CL:0000499	stromal cell	primary_cell	Meningeal Cells, donor1	__na	__na
11440	FF:11440-118H9	CNhs12050	__na	__na	CL:0000499	stromal cell	primary_cell	Synoviocyte, donor3	__na	__na
11405	FF:11405-118E1	CNhs12015	__na	__na	CL:0000499	stromal cell	primary_cell	Prostate Stromal Cells, donor3	__na	__na
11368	FF:11368-117I9	CNhs11992	__na	__na	CL:0000499	stromal cell	primary_cell	Synoviocyte, donor2	__na	__na
11332	FF:11332-117E9	CNhs11973	__na	__na	CL:0000499	stromal cell	primary_cell	Prostate Stromal Cells, donor2	__na	__na
11254	FF:11254-116F3	CNhs10883	__na	__na	CL:0000499	stromal cell	primary_cell	Prostate Stromal Cells, donor1	__na	__na
11249	FF:11249-116E7	CNhs10877	__na	__na	CL:0000499	stromal cell	primary_cell	Pancreatic stromal cells, donor1	__na	__na
11905	FF:11905-125F6	CNhs13480	__na	__na	CL:0000451	dendritic cell	primary_cell	immature langerhans cells, donor2	__na	__na
11904	FF:11904-125F5	CNhs13537	__na	__na	CL:0000451	dendritic cell	primary_cell	immature langerhans cells, donor1	__na	__na
11903	FF:11903-125F4	CNhs13547	__na	__na	CL:0000451	dendritic cell	primary_cell	migratory langerhans cells, donor3	__na	__na
11902	FF:11902-125F3	CNhs13536	__na	__na	CL:0000451	dendritic cell	primary_cell	migratory langerhans cells, donor2	__na	__na
11901	FF:11901-125F2	CNhs13535	__na	__na	CL:0000451	dendritic cell	primary_cell	migratory langerhans cells, donor1	__na	__na
11384	FF:11384-118B7	CNhs12000	__na	__na	CL:0000451	dendritic cell	primary_cell	Dendritic Cells - monocyte immature derived, donor3	__na	__na
11228	FF:11228-116C4	CNhs10857	__na	__na	CL:0000451	dendritic cell	primary_cell	Dendritic Cells - plasmacytoid, donor1	__na	__na
11227	FF:11227-116C3	CNhs10855	__na	__na	CL:0000451	dendritic cell	primary_cell	Dendritic Cells - monocyte immature derived, donor1, tech_rep1	__na	__na
11227	FF:11227-116C3	CNhs11062	__na	__na	CL:0000451	dendritic cell	primary_cell	Dendritic Cells - monocyte immature derived, donor1, tech_rep2	__na	__na
11768	FF:11768-123I4	CNhs12641	__na	__na	CL:0000388	tendon cell	primary_cell	tenocyte, donor3	__na	__na
11765	FF:11765-123I1	CNhs12640	__na	__na	CL:0000388	tendon cell	primary_cell	tenocyte, donor2	__na	__na
11763	FF:11763-123H8	CNhs12639	__na	__na	CL:0000388	tendon cell	primary_cell	tenocyte, donor1	__na	__na
11621	FF:11621-122B1	CNhs12569	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Umbilical Vein, donor2	__na	__na
11541	FF:11541-120B2	CNhs12597	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Umbilical Vein, donor1	__na	__na
11439	FF:11439-118H8	CNhs12049	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Umbilical Artery, donor3	__na	__na
11438	FF:11438-118H7	CNhs12048	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Subclavian Artery, donor3	__na	__na
11436	FF:11436-118H5	CNhs12046	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Internal Thoracic Artery, donor3	__na	__na
11435	FF:11435-118H4	CNhs12045	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Coronary Artery, donor3	__na	__na
11434	FF:11434-118H3	CNhs12044	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Carotid, donor3	__na	__na
11433	FF:11433-118H2	CNhs12043	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Brachiocephalic, donor3	__na	__na
11432	FF:11432-118H1	CNhs11309	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Aortic, donor3	__na	__na
11391	FF:11391-118C5	CNhs12004	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Brain Vascular, donor3	__na	__na
11367	FF:11367-117I8	CNhs11991	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Umbilical Artery, donor2	__na	__na
11366	FF:11366-117I7	CNhs11990	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Subclavian Artery, donor2	__na	__na
11365	FF:11365-117I6	CNhs11989	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Pulmonary Artery, donor2	__na	__na
11364	FF:11364-117I5	CNhs11988	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Internal Thoracic Artery, donor2	__na	__na
11363	FF:11363-117I4	CNhs11987	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Coronary Artery, donor2	__na	__na
11360	FF:11360-117I1	CNhs11305	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Aortic, donor2	__na	__na
11315	FF:11315-117D1	CNhs11900	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Brain Vascular, donor2	__na	__na
11290	FF:11290-117A3	CNhs11091	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Umbilical Artery, donor1	__na	__na
11289	FF:11289-117A2	CNhs11090	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Subclavian Artery, donor1	__na	__na
11286	FF:11286-116I8	CNhs11088	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Coronary Artery, donor1	__na	__na
11285	FF:11285-116I7	CNhs11087	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Carotid, donor1	__na	__na
11284	FF:11284-116I6	CNhs11086	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Brachiocephalic, donor1	__na	__na
11283	FF:11283-116I5	CNhs11085	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Aortic, donor1	__na	__na
11234	FF:11234-116D1	CNhs10863	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Brain Vascular, donor1	__na	__na
11212	FF:11212-116A6	CNhs10839	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Umbilical artery, donor0	__na	__na
11210	FF:11210-116A4	CNhs10838	__na	__na	CL:0000359	vascular associated smooth muscle cell	primary_cell	Smooth Muscle Cells - Aortic, donor0	__na	__na
11421	FF:11421-118F8	CNhs12031	__na	E127	CL:0000312	keratinocyte	primary_cell	Keratinocyte - epidermal, donor3	NHEK-Epidermal Keratinocyte Primary Cells	__na
11349	FF:11349-117G8	CNhs11381	__na	E127	CL:0000312	keratinocyte	primary_cell	Keratinocyte - epidermal, donor2	NHEK-Epidermal Keratinocyte Primary Cells	__na
11272	FF:11272-116H3	CNhs11064	__na	E127	CL:0000312	keratinocyte	primary_cell	Keratinocyte - epidermal, donor1	NHEK-Epidermal Keratinocyte Primary Cells	__na
11251	FF:11251-116E9	CNhs10879	__na	__na	CL:0000312	keratinocyte	primary_cell	Keratinocyte - oral, donor1	__na	__na
11389	FF:11389-118C3	CNhs12003	__na	__na	CL:0000235	macrophage	primary_cell	Macrophage - monocyte derived, donor3	__na	__na
11313	FF:11313-117C8	CNhs11899	__na	__na	CL:0000235	macrophage	primary_cell	Macrophage - monocyte derived, donor2	__na	__na
11232	FF:11232-116C8	CNhs10861	__na	__na	CL:0000235	macrophage	primary_cell	Macrophage - monocyte derived, donor1	__na	__na
11459	FF:11459-119B1	CNhs12060	__na	__na	CL:0000188	skeletal muscle cell	primary_cell	Skeletal Muscle Cells, donor6	__na	__na
11455	FF:11455-119A6	CNhs12056	__na	__na	CL:0000188	skeletal muscle cell	primary_cell	Skeletal Muscle Cells, donor5	__na	__na
11451	FF:11451-119A2	CNhs12053	__na	__na	CL:0000188	skeletal muscle cell	primary_cell	Skeletal Muscle Cells, donor4	__na	__na
11397	FF:11397-118D2	CNhs12008	__na	E052	CL:0000188	skeletal muscle cell	primary_cell	Skeletal Muscle Satellite Cells, donor3	Muscle Satellite Cultured Cells	__na
11321	FF:11321-117D7	CNhs11964	__na	E052	CL:0000188	skeletal muscle cell	primary_cell	Skeletal Muscle Satellite Cells, donor2	Muscle Satellite Cultured Cells	__na
11282	FF:11282-116I4	CNhs11084	__na	__na	CL:0000188	skeletal muscle cell	primary_cell	Skeletal muscle cells differentiated into Myotubes - multinucleated, donor1	__na	__na
11281	FF:11281-116I3	CNhs11083	__na	__na	CL:0000188	skeletal muscle cell	primary_cell	Skeletal Muscle Cells, donor1	__na	__na
11240	FF:11240-116D7	CNhs10869	__na	E052	CL:0000188	skeletal muscle cell	primary_cell	Skeletal Muscle Satellite Cells, donor1	Muscle Satellite Cultured Cells	__na
11684	FF:11684-122I1	CNhs12626	__na	__na	CL:0000182	hepatocyte	primary_cell	Hepatocyte, donor3	__na	__na
11603	FF:11603-120I1	CNhs12349	__na	__na	CL:0000182	hepatocyte	primary_cell	Hepatocyte, donor2	__na	__na
11523	FF:11523-119I2	CNhs12340	__na	__na	CL:0000182	hepatocyte	primary_cell	Hepatocyte, donor1	__na	__na
11663	FF:11663-122F7	CNhs12570	__na	__na	CL:0000148	melanocyte	primary_cell	Melanocyte - dark, donor3	__na	__na
11423	FF:11423-118G1	CNhs12033	__na	__na	CL:0000148	melanocyte	primary_cell	Melanocyte - light, donor3	__na	__na
11351	FF:11351-117H1	CNhs11383	__na	__na	CL:0000148	melanocyte	primary_cell	Melanocyte - light, donor2	__na	__na
11274	FF:11274-116H5	CNhs11303	__na	__na	CL:0000148	melanocyte	primary_cell	Melanocyte - light, donor1	__na	__na
11411	FF:11411-118E7	CNhs12021	__na	E049	CL:0000138	chondrocyte	primary_cell	Chondrocyte - re diff, donor3	Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells	__na
11410	FF:11410-118E6	CNhs12020	__na	E049	CL:0000138	chondrocyte	primary_cell	Chondrocyte - de diff, donor3	Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells	__na
11339	FF:11339-117F7	CNhs11373	__na	E049	CL:0000138	chondrocyte	primary_cell	Chondrocyte - re diff, donor2	Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells	__na
11338	FF:11338-117F6	CNhs11372	__na	E049	CL:0000138	chondrocyte	primary_cell	Chondrocyte - de diff, donor2	Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells	__na
11261	FF:11261-116G1	CNhs11923	__na	E049	CL:0000138	chondrocyte	primary_cell	Chondrocyte - de diff, donor1	Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells	__na
11476	FF:11476-119C9	CNhs12069	__na	__na	CL:0000136	fat cell	primary_cell	Adipocyte - perirenal, donor1	__na	__na
11475	FF:11475-119C8	CNhs12068	__na	__na	CL:0000136	fat cell	primary_cell	Adipocyte - omental, donor3	__na	__na
11474	FF:11474-119C7	CNhs12067	__na	__na	CL:0000136	fat cell	primary_cell	Adipocyte - omental, donor2	__na	__na
11473	FF:11473-119C6	CNhs11054	__na	__na	CL:0000136	fat cell	primary_cell	Adipocyte - omental, donor1	__na	__na
11408	FF:11408-118E4	CNhs12017	__na	__na	CL:0000136	fat cell	primary_cell	Adipocyte - subcutaneous, donor3	__na	__na
11376	FF:11376-118A8	CNhs11051	__na	__na	CL:0000136	fat cell	primary_cell	Adipocyte - breast, donor1	__na	__na
11336	FF:11336-117F4	CNhs11371	__na	__na	CL:0000136	fat cell	primary_cell	Adipocyte - subcutaneous, donor2	__na	__na
11259	FF:11259-116F8	CNhs12494	__na	__na	CL:0000136	fat cell	primary_cell	Adipocyte - subcutaneous, donor1	__na	__na
12240	FF:12240-129G8	CNhs12380	__na	__na	CL:0000134	mesenchymal cell	primary_cell	chorionic membrane cells, donor3	__na	__na
12239	FF:12239-129G7	CNhs12506	__na	__na	CL:0000134	mesenchymal cell	primary_cell	chorionic membrane cells, donor2	__na	__na
12238	FF:12238-129G6	CNhs12504	__na	__na	CL:0000134	mesenchymal cell	primary_cell	chorionic membrane cells, donor1	__na	__na
12237	FF:12237-129G5	CNhs12379	__na	__na	CL:0000134	mesenchymal cell	primary_cell	amniotic membrane cells, donor3	__na	__na
12236	FF:12236-129G4	CNhs12503	__na	__na	CL:0000134	mesenchymal cell	primary_cell	amniotic membrane cells, donor2	__na	__na
12235	FF:12235-129G3	CNhs12502	__na	__na	CL:0000134	mesenchymal cell	primary_cell	amniotic membrane cells, donor1	__na	__na
11840	FF:11840-124H4	CNhs13098	__na	__na	CL:0000134	mesenchymal cell	primary_cell	mesenchymal precursor cell - bone marrow, donor3	__na	__na
11755	FF:11755-123G9	CNhs12371	__na	__na	CL:0000134	mesenchymal cell	primary_cell	mesenchymal precursor cell - cardiac, donor4	__na	__na
11754	FF:11754-123G8	CNhs12370	__na	__na	CL:0000134	mesenchymal cell	primary_cell	mesenchymal precursor cell - cardiac, donor3	__na	__na
11753	FF:11753-123G7	CNhs12369	__na	__na	CL:0000134	mesenchymal cell	primary_cell	mesenchymal precursor cell - cardiac, donor2	__na	__na
11752	FF:11752-123G6	CNhs12368	__na	__na	CL:0000134	mesenchymal cell	primary_cell	mesenchymal precursor cell - cardiac, donor1	__na	__na
11751	FF:11751-123G5	CNhs12367	__na	__na	CL:0000134	mesenchymal cell	primary_cell	mesenchymal precursor cell - bone marrow, donor2	__na	__na
11750	FF:11750-123G4	CNhs12366	__na	__na	CL:0000134	mesenchymal cell	primary_cell	mesenchymal precursor cell - bone marrow, donor1	__na	__na
11749	FF:11749-123G3	CNhs12365	__na	__na	CL:0000134	mesenchymal cell	primary_cell	mesenchymal precursor cell - adipose, donor3	__na	__na
11748	FF:11748-123G2	CNhs12364	__na	__na	CL:0000134	mesenchymal cell	primary_cell	mesenchymal precursor cell - adipose, donor2	__na	__na
11747	FF:11747-123G1	CNhs12363	__na	__na	CL:0000134	mesenchymal cell	primary_cell	mesenchymal precursor cell - adipose, donor1	__na	__na
11700	FF:11700-123A8	CNhs12127	__na	__na	CL:0000134	mesenchymal cell	primary_cell	Mesenchymal Stem Cells - umbilical, donor3	__na	__na
11698	FF:11698-123A6	CNhs12922	__na	E025	CL:0000134	mesenchymal cell	primary_cell	Mesenchymal Stem Cells - adipose, donor3	Adipose Derived Mesenchymal Stem Cell Cultured Cells	__na
11697	FF:11697-123A5	CNhs12126	__na	E026	CL:0000134	mesenchymal cell	primary_cell	Mesenchymal Stem Cells - bone marrow, donor3	Bone Marrow Derived Cultured Mesenchymal Stem Cells	__na
11629	FF:11629-122B9	CNhs12105	__na	__na	CL:0000134	mesenchymal cell	primary_cell	Multipotent Cord Blood Unrestricted Somatic Stem Cells, donor2	__na	__na
11627	FF:11627-122B7	CNhs12104	__na	__na	CL:0000134	mesenchymal cell	primary_cell	Mesenchymal Stem Cells - amniotic membrane, donor2	__na	__na
11618	FF:11618-122A7	CNhs12730	__na	__na	CL:0000134	mesenchymal cell	primary_cell	Mesenchymal Stem Cells - hepatic, donor2	__na	__na
11616	FF:11616-122A5	CNhs12100	__na	E026	CL:0000134	mesenchymal cell	primary_cell	Mesenchymal Stem Cells - bone marrow, donor2	Bone Marrow Derived Cultured Mesenchymal Stem Cells	__na
11549	FF:11549-120C1	CNhs11350	__na	__na	CL:0000134	mesenchymal cell	primary_cell	Multipotent Cord Blood Unrestricted Somatic Stem Cells, donor1	__na	__na
11548	FF:11548-120B9	CNhs11057	__na	__na	CL:0000134	mesenchymal cell	primary_cell	Mesenchymal Stem Cells - Wharton's Jelly, donor1	__na	__na
11547	FF:11547-120B8	CNhs11349	__na	__na	CL:0000134	mesenchymal cell	primary_cell	Mesenchymal Stem Cells - amniotic membrane, donor1	__na	__na
11539	FF:11539-120A9	CNhs11347	__na	__na	CL:0000134	mesenchymal cell	primary_cell	Mesenchymal Stem Cells - umbilical, donor1	__na	__na
11537	FF:11537-120A7	CNhs11345	__na	E025	CL:0000134	mesenchymal cell	primary_cell	Mesenchymal Stem Cells - adipose, donor1	Adipose Derived Mesenchymal Stem Cell Cultured Cells	__na
11536	FF:11536-120A6	CNhs11344	__na	E026	CL:0000134	mesenchymal cell	primary_cell	Mesenchymal Stem Cells - bone marrow, donor1	Bone Marrow Derived Cultured Mesenchymal Stem Cells	__na
11218	FF:11218-116B3	CNhs10845	__na	__na	CL:0000134	mesenchymal cell	primary_cell	Mesenchymal stem cells - hepatic, donor0	__na	__na
11217	FF:11217-116B2	CNhs10844	__na	E025	CL:0000134	mesenchymal cell	primary_cell	Mesenchymal stem cells - adipose, donor0	Adipose Derived Mesenchymal Stem Cell Cultured Cells	__na
11214	FF:11214-116A8	CNhs12492	__na	__na	CL:0000134	mesenchymal cell	primary_cell	Mesenchymal stem cells - umbilical, donor0	__na	__na
11661	FF:11661-122F5	CNhs12117	__na	E125	CL:0000127	astrocyte	primary_cell	Astrocyte - cerebellum, donor3	NH-A Astrocytes Primary Cells	__na
11580	FF:11580-120F5	CNhs12081	__na	E125	CL:0000127	astrocyte	primary_cell	Astrocyte - cerebellum, donor2	NH-A Astrocytes Primary Cells	__na
11500	FF:11500-119F6	CNhs11321	__na	E125	CL:0000127	astrocyte	primary_cell	Astrocyte - cerebellum, donor1	NH-A Astrocytes Primary Cells	__na
11392	FF:11392-118C6	CNhs12005	__na	E125	CL:0000127	astrocyte	primary_cell	Astrocyte - cerebral cortex, donor3	NH-A Astrocytes Primary Cells	__na
11316	FF:11316-117D2	CNhs11960	__na	E125	CL:0000127	astrocyte	primary_cell	Astrocyte - cerebral cortex, donor2	NH-A Astrocytes Primary Cells	__na
11235	FF:11235-116D2	CNhs10864	__na	E125	CL:0000127	astrocyte	primary_cell	Astrocyte - cerebral cortex, donor1	NH-A Astrocytes Primary Cells	__na
12227	FF:12227-129F4	CNhs12574	__na	__na	CL:0000098	sensory epithelial cell	primary_cell	nasal epithelial cells, donor2	__na	__na
12226	FF:12226-129F3	CNhs12589	__na	__na	CL:0000098	sensory epithelial cell	primary_cell	nasal epithelial cells, donor1, tech_rep1	__na	__na
11936	FF:11936-126A1	CNhs13819	__na	__na	CL:0000098	sensory epithelial cell	primary_cell	Olfactory epithelial cells, donor4	__na	__na
11935	FF:11935-125I9	CNhs13818	__na	__na	CL:0000098	sensory epithelial cell	primary_cell	Olfactory epithelial cells, donor3	__na	__na
11934	FF:11934-125I8	CNhs13817	__na	__na	CL:0000098	sensory epithelial cell	primary_cell	Olfactory epithelial cells, donor2	__na	__na
11933	FF:11933-125I7	CNhs13816	RDhi10094	__na	CL:0000098	sensory epithelial cell	primary_cell	Olfactory epithelial cells, donor1	__na	__na
11567	FF:11567-120E1	CNhs12592	__na	__na	CL:0000097	mast cell	primary_cell	Mast cell, donor4	__na	__na
11566	FF:11566-120D9	CNhs12593	__na	__na	CL:0000097	mast cell	primary_cell	Mast cell, donor3	__na	__na
11565	FF:11565-120D8	CNhs12594	__na	__na	CL:0000097	mast cell	primary_cell	Mast cell, donor2	__na	__na
11563	FF:11563-120D6	CNhs12566	__na	__na	CL:0000097	mast cell	primary_cell	Mast cell, donor1	__na	__na
11487	FF:11487-119E2	CNhs11073	RDhi10093	__na	CL:0000097	mast cell	primary_cell	Mast cell - stimulated, donor1	__na	__na
11920	FF:11920-125H3	CNhs13812	__na	E040	CL:0000084	T cell	primary_cell	CD4+CD25+CD45RA- memory regulatory T cells expanded, donor3	Primary T helper memory cells from peripheral blood 1	__na
11917	FF:11917-125G9	CNhs13814	__na	__na	CL:0000084	T cell	primary_cell	CD4+CD25-CD45RA+ naive conventional T cells expanded, donor3	__na	__na
11916	FF:11916-125G8	CNhs13811	__na	E040	CL:0000084	T cell	primary_cell	CD4+CD25+CD45RA- memory regulatory T cells expanded, donor2	Primary T helper memory cells from peripheral blood 1	__na
11913	FF:11913-125G5	CNhs13813	__na	__na	CL:0000084	T cell	primary_cell	CD4+CD25-CD45RA+ naive conventional T cells expanded, donor2	__na	__na
11909	FF:11909-125G1	CNhs13539	__na	__na	CL:0000084	T cell	primary_cell	CD4+CD25-CD45RA- memory conventional T cells, donor3	__na	__na
11908	FF:11908-125F9	CNhs13538	__na	E040	CL:0000084	T cell	primary_cell	CD4+CD25+CD45RA- memory regulatory T cells, donor3	Primary T helper memory cells from peripheral blood 1	__na
11907	FF:11907-125F8	CNhs13513	__na	E039	CL:0000084	T cell	primary_cell	CD4+CD25+CD45RA+ naive regulatory T cells, donor3	Primary T helper naive cells from peripheral blood	__na
11906	FF:11906-125F7	CNhs13512	__na	__na	CL:0000084	T cell	primary_cell	CD4+CD25-CD45RA+ naive conventional T cells, donor3	__na	__na
11797	FF:11797-124C6	CNhs13206	__na	E040	CL:0000084	T cell	primary_cell	CD4+CD25+CD45RA- memory regulatory T cells, donor2	Primary T helper memory cells from peripheral blood 1	__na
11795	FF:11795-124C4	CNhs13205	__na	__na	CL:0000084	T cell	primary_cell	CD4+CD25-CD45RA+ naive conventional T cells, donor2	__na	__na
11794	FF:11794-124C3	CNhs13204	__na	E040	CL:0000084	T cell	primary_cell	CD4+CD25+CD45RA- memory regulatory T cells expanded, donor1	Primary T helper memory cells from peripheral blood 1	__na
11793	FF:11793-124C2	CNhs13203	__na	E039	CL:0000084	T cell	primary_cell	CD4+CD25+CD45RA+ naive regulatory T cells expanded, donor1	Primary T helper naive cells from peripheral blood	__na
11792	FF:11792-124C1	CNhs13215	__na	__na	CL:0000084	T cell	primary_cell	CD4+CD25-CD45RA- memory conventional T cells expanded, donor1	__na	__na
11791	FF:11791-124B9	CNhs13202	__na	__na	CL:0000084	T cell	primary_cell	CD4+CD25-CD45RA+ naive conventional T cells expanded, donor1	__na	__na
11784	FF:11784-124B2	CNhs13223	__na	__na	CL:0000084	T cell	primary_cell	CD4+CD25-CD45RA+ naive conventional T cells, donor1	__na	__na
11782	FF:11782-124A9	CNhs13195	__na	E040	CL:0000084	T cell	primary_cell	CD4+CD25+CD45RA- memory regulatory T cells, donor1	Primary T helper memory cells from peripheral blood 1	__na
11383	FF:11383-118B6	CNhs11999	__na	E047	CL:0000084	T cell	primary_cell	CD8+ T Cells, donor3	Primary T CD8+ naive cells from peripheral blood	__na
11382	FF:11382-118B5	CNhs11998	__na	E038	CL:0000084	T cell	primary_cell	CD4+ T Cells, donor3	Primary T helper naive cells from peripheral blood	__na
11307	FF:11307-117C2	CNhs11956	__na	E047	CL:0000084	T cell	primary_cell	CD8+ T Cells, donor2	Primary T CD8+ naive cells from peripheral blood	__na
11306	FF:11306-117C1	CNhs11955	__na	E038	CL:0000084	T cell	primary_cell	CD4+ T Cells, donor2	Primary T helper naive cells from peripheral blood	__na
11226	FF:11226-116C2	CNhs10854	__na	E047	CL:0000084	T cell	primary_cell	CD8+ T Cells, donor1	Primary T CD8+ naive cells from peripheral blood	__na
11225	FF:11225-116C1	CNhs10853	__na	E038	CL:0000084	T cell	primary_cell	CD4+ T Cells, donor1	Primary T helper naive cells from peripheral blood	__na
11402	FF:11402-118D7	CNhs12012	RDhi10051	__na	CL:0000077	mesothelial cell	primary_cell	Mesothelial Cells, donor3	__na	__na
11255	FF:11255-116F4	CNhs10851	__na	__na	CL:0000077	mesothelial cell	primary_cell	Sertoli Cells, donor1	__na	__na
11247	FF:11247-116E5	CNhs10850	__na	__na	CL:0000077	mesothelial cell	primary_cell	Mesothelial Cells, donor1	__na	__na
11416	FF:11416-118F3	CNhs12026	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Vein, donor3	__na	__na
11414	FF:11414-118F1	CNhs12024	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Microvascular, donor3	__na	__na
11413	FF:11413-118E9	CNhs12023	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Artery, donor3	__na	__na
11412	FF:11412-118E8	CNhs12022	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Aortic, donor3	__na	__na
11400	FF:11400-118D5	CNhs12010	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Umbilical vein, donor3	__na	__na
11344	FF:11344-117G3	CNhs11377	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Vein, donor2	__na	__na
11343	FF:11343-117G2	CNhs11978	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Thoracic, donor2	__na	__na
11342	FF:11342-117G1	CNhs11376	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Microvascular, donor2	__na	__na
11341	FF:11341-117F9	CNhs11977	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Artery, donor2	__na	__na
11340	FF:11340-117F8	CNhs11375	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Aortic, donor2	__na	__na
11324	FF:11324-117E1	CNhs11967	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Umbilical vein, donor2	__na	__na
11267	FF:11267-116G7	CNhs12497	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Vein, donor1	__na	__na
11266	FF:11266-116G6	CNhs11926	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Thoracic, donor1	__na	__na
11265	FF:11265-116G5	CNhs11925	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Microvascular, donor1	__na	__na
11264	FF:11264-116G4	CNhs12496	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Artery, donor1	__na	__na
11263	FF:11263-116G3	CNhs12495	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Aortic, donor1	__na	__na
11243	FF:11243-116E1	CNhs10872	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Umbilical vein, donor1	__na	__na
11207	FF:11207-116A1	CNhs10837	__na	__na	CL:0000071	blood vessel endothelial cell	primary_cell	Endothelial Cells - Aortic, donor0	__na	__na
